concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid reason
2000000000,Total PSA level - post operative,measurement,None,Undefined,,,19700101,20991231,
2000000001,Prostate Health Index,measurement,None,Undefined,,,19700101,20991231,
2000000002,Infection occurred after biopsy,observation,None,Undefined,,,19700101,20991231,
2000000003,Antibiotic resistance,measurement,None,Undefined,,,19700101,20991231,
2000000004,Nitrofuran,measurement,None,Undefined,,,19700101,20991231,
2000000005,Pain after biopsy,condition_occurrence,None,Undefined,,,19700101,20991231,
2000000006,Size of prostate cancer in biopt,measurement,None,Undefined,,,19700101,20991231,
2000000007,PIRADS score,measurement,None,Undefined,,,19700101,20991231,
2000000008,3: cancer is equivocal ,meas value,None,Undefined,,,19700101,20991231,
2000000009,4: cancer is likely,meas value,None,Undefined,,,19700101,20991231,
2000000010,5: cancer is very likely,meas value,None,Undefined,,,19700101,20991231,
2000000011,1: Higher overall PIRADS,observation,None,Undefined,,,19700101,20991231,
2000000012,2: More lesions with PIRADS>=3,observation,None,Undefined,,,19700101,20991231,
2000000013,3: Size progression,observation,None,Undefined,,,19700101,20991231,
2000000014,4: No change,observation,None,Undefined,,,19700101,20991231,
2000000015,11: Lesions no longer visible,observation,None,Undefined,,,19700101,20991231,
2000000016,12: Reduction in lesions size or level of suspicion,observation,None,Undefined,,,19700101,20991231,
2000000017,13: No change,observation,None,Undefined,,,19700101,20991231,
2000000018,14: Increase in size or in level of suspicion,observation,None,Undefined,,,19700101,20991231,
2000000019,15: Radiologic stage progression,observation,None,Undefined,,,19700101,20991231,
2000000020,PSA doubling time,measurement,None,Undefined,,,19700101,20991231,
2000000021,Visual targeting of MRI lesions,measurement,None,Undefined,,,19700101,20991231,
2000000022,Software targeting of MRI lesions,measurement,None,Undefined,,,19700101,20991231,
2000000023,In-bore targeting of MRI lesions,procedure occurrence,None,Undefined,,,19700101,20991231,
2000000024,Prostate MRI segmentation,measurement,None,Undefined,,,19700101,20991231,
2000000025,Prostate MRI ellipsoid,measurement,None,Undefined,,,19700101,20991231,
2000000026,Prostate MRI volume,measurement,None,Undefined,,,19700101,20991231,
2000000027,Baseline Visit,visit,None,Undefined,,,19700101,20991231,
2000000028,Follow-up Visit 1,visit,None,Undefined,,,19700101,20991231,
2000000029,Follow-up Visit 2,visit,None,Undefined,,,19700101,20991231,
2000000030,Follow-up Visit 3,visit,None,Undefined,,,19700101,20991231,
2000000031,Follow-up Visit 4,visit,None,Undefined,,,19700101,20991231,
2000000032,Follow-up Visit 5,visit,None,Undefined,,,19700101,20991231,
2000000033,Follow-up Visit 6,visit,None,Undefined,,,19700101,20991231,
2000000034,Follow-up Visit 7,visit,None,Undefined,,,19700101,20991231,
2000000035,Follow-up Visit 8,visit,None,Undefined,,,19700101,20991231,
2000000036,Follow-up Visit 9,visit,None,Undefined,,,19700101,20991231,
2000000037,Follow-up Visit 10,visit,None,Undefined,,,19700101,20991231,
2000000038,Follow-up Visit 11,visit,None,Undefined,,,19700101,20991231,
2000000039,Follow-up Visit 12,visit,None,Undefined,,,19700101,20991231,
2000000040,Follow-up Visit 13,visit,None,Undefined,,,19700101,20991231,
2000000041,Follow-up Visit 14,visit,None,Undefined,,,19700101,20991231,
2000000042,Follow-up Visit 15,visit,None,Undefined,,,19700101,20991231,
2000000043,Follow-up Visit 16,visit,None,Undefined,,,19700101,20991231,
2000000044,Follow-up Visit 17,visit,None,Undefined,,,19700101,20991231,
2000000045,Follow-up Visit 18,visit,None,Undefined,,,19700101,20991231,
2000000046,Follow-up Visit 19,visit,None,Undefined,,,19700101,20991231,
2000000047,Follow-up Visit 20,visit,None,Undefined,,,19700101,20991231,
2000000048,Follow-up Visit 21,visit,None,Undefined,,,19700101,20991231,
2000000049,Follow-up Visit 22,visit,None,Undefined,,,19700101,20991231,
2000000050,Follow-up Visit 23,visit,None,Undefined,,,19700101,20991231,
2000000051,Follow-up Visit 24,visit,None,Undefined,,,19700101,20991231,
2000000052,Follow-up Visit 25,visit,None,Undefined,,,19700101,20991231,
2000000053,Follow-up Visit 26,visit,None,Undefined,,,19700101,20991231,
2000000054,Follow-up Visit 27,visit,None,Undefined,,,19700101,20991231,
2000000055,Follow-up Visit 28,visit,None,Undefined,,,19700101,20991231,
2000000056,Follow-up Visit 29,visit,None,Undefined,,,19700101,20991231,
2000000057,Follow-up Visit 30,visit,None,Undefined,,,19700101,20991231,
2000000058,Follow-up Visit 31,visit,None,Undefined,,,19700101,20991231,
2000000059,Follow-up Visit 32,visit,None,Undefined,,,19700101,20991231,
2000000060,Follow-up Visit 33,visit,None,Undefined,,,19700101,20991231,
2000000061,Follow-up Visit 34,visit,None,Undefined,,,19700101,20991231,
2000000062,Follow-up Visit 35,visit,None,Undefined,,,19700101,20991231,
2000000063,Follow-up Visit 36,visit,None,Undefined,,,19700101,20991231,
2000000064,Follow-up Visit 37,visit,None,Undefined,,,19700101,20991231,
2000000065,Follow-up Visit 38,visit,None,Undefined,,,19700101,20991231,

