variable_source_code,value_source_code,source_code_description,target_concept_id,target_concept_name,valid_start_date,valid_end_date,invalid_reason
Biopt_prob_type,1,no antibioticum used,45878582,None,2020-01-06,2099-12-31,
Biopt_prob_type,2,fluoroquinolones,1176676,Fluoroquinolone,2020-01-06,2099-12-31,
Biopt_prob_type,3,trimethoprim+sulfamethoxazole,40792503,Trimethoprim+Sulfamethoxazole,2020-01-06,2099-12-31,
Biopt_prob_type,4,other antibioticum,40779119,Other Antibiotic,2020-01-06,2099-12-31,
Biopt_infection,1,yes,4188539,Yes,2020-01-06,2099-12-31,
Biopt_infection,2,no,45878245,No,2020-01-06,2099-12-31,
Biopt_inf_urine_culture,1,positive,9191,Positive,2020-01-06,2099-12-31,
Biopt_inf_urine_culture,2,negative,9189,Negative,2020-01-06,2099-12-31,
Biopt_inf_urine_bacterium,1,E.coli,4011683,Escherichia coli,2019-10-22,2099-12-31,
Biopt_inf_urine_bacterium,2,pseudomonas,4211547,Pseudomonas,2019-10-22,2099-12-31,
Biopt_inf_urine_bacterium,3,Enterococci,4101235,Genus Enterococcus,2019-10-22,2099-12-31,
Biopt_inf_urine_bacterium,4,proteus,4196666,Proteus,2019-10-22,2099-12-31,
Biopt_inf_urine_bacterium,5,Staphylococci,4278981,Staphylococcus,2019-10-22,2099-12-31,
Biopt_inf_urine_bacterium,6,Klebsiella,4327473,Klebsiella,2019-10-22,2099-12-31,
Biopt_inf_urine_bacterium,7,other enterobacteria,4242438,Enterobacter,2019-10-22,2099-12-31,
Biopt_inf_urine_bacterium,8,other,9177,Other,2019-10-22,2099-12-31,
Biopt_inf_urine_resistant,1,Fluoroquinolones,1176676,Fluoroquinolone,2020-01-06,2099-12-31,
Biopt_inf_urine_resistant,2,Trimethoprim-sulfonamide (TMP-SMX) combination,40792503,Trimethoprim+Sulfamethoxazole,2020-01-06,2099-12-31,
Biopt_inf_urine_resistant,3,Cephalosporin (group 1 or 2),37026981,Cephalosporin,2020-01-06,2099-12-31,
Biopt_inf_urine_resistant,4,Cephalosporin (group >=3),37026981,Cephalosporin,2020-01-06,2099-12-31,
Biopt_inf_urine_resistant,5,Carbapenems,1176571,Carbapenem,2020-01-06,2099-12-31,
Biopt_inf_urine_resistant,6,Penicillins (without B-lactam),40772521,Penicillin,2020-01-06,2099-12-31,
Biopt_inf_urine_resistant,7,Aminoglycosides,36306522,Aminoglycoside,2020-01-06,2099-12-31,
Biopt_inf_urine_resistant,8,Nitrofuran,2000000004,Nitrofuran,2020-01-06,2099-12-31,
Biopt_inf_urine_resistant,9,other,40779119,Other Antibiotic,2020-01-06,2099-12-31,
Mri_Pirads_1.0,1,3 cancer is equivocal,2000000008,3: cancer is equivocal,2020-01-08,2099-12-31,
Mri_Pirads_1.0,2,4 cancer is likely,2000000009,4: cancer is likely,2020-01-08,2099-12-31,
Mri_Pirads_1.0,3,5 cancer is very likely,2000000010,5: cancer is very likely,2020-01-08,2099-12-31,
Mri_Location_1.0,1,anterior half,4115458,Anterior,2020-01-08,2099-12-31,
Mri_Location_1.0,2,posterior half,4116868,Posterior,2020-01-08,2099-12-31,
Mri_Location_1.0,3,both,45883500,Both,2020-01-08,2099-12-31,
Mri_Location_Free_1.0,righ,4588162,Right,2020-01-08,2099-12-31,
Mri_Location_Free_1.0,left,45883143,Left,2020-01-08,2099-12-31,
Mri_Progrssion_Lesions.0,1,Higher overall PIRADS,2000000011,1: Higher overall PIRADS,2020-01-09,2099-12-31,
Mri_Progrssion_Lesions.0,2,More lesions with PIRADS>=3’,2000000012,2: More lesions with PIRADS>=3,2020-01-09,2099-12-31,
Mri_Progrssion_Lesions.0,3,Size progression,2000000013,3: Size progression,2020-01-09,2099-12-31,
Mri_Progrssion_Lesions.0,4,No change,2000000014,4: No change,2020-01-09,2099-12-31,
Mri_Progrssion_Lesions.0,11,Lesions no longer visible,2000000015, 11: Lesions no longer visible,2020-01-09,2099-12-31,
Mri_Progrssion_Lesions.0,12,Reduction in lesions size or level of suspicion,2000000016,12: Reduction in lesions size or level of suspicion,2020-01-09,2099-12-31,
Mri_Progrssion_Lesions.0,13,No change,2000000017,13: No change,2020-01-09,2099-12-31,
Mri_Progrssion_Lesions.0,14,Increase in size or in level of suspicion,2000000018,14: Increase in size or in level of suspicion,2020-01-09,2099-12-31,
Mri_Progrssion_Lesions.0,15,Radiologic stage progression,2000000019,15:Radiologic stage progression,2020-01-09,2099-12-31,
Discontinued,Robot radical prostatectomy,Robot radical prostatectomy,46270921,Robot assisted laparoscopic radical prostatectomy,2015-07-31,2099-12-31,
Discontinued,External beam radiotherapy,External beam radiotherapy,4141448,Teleradiotherapy procedure,1970-01-01,2099-12-31,
Discontinued,Watchful waiting,Watchful waiting,4190466,No anti-cancer treatment - watchful waiting,1970-01-01,2099-12-31,
Discontinued,Open radical prostatectomy,Open radical prostatectomy,4096783,Radical prostatectomy,1970-01-01,2099-12-31,
Discontinued,Laparoscopic Radical Prostatectomy,Laparoscopic Radical Prostatectomy,44809585,Laparoscopic radical prostatectomy,2014-04-01,2099-12-31,
